id	surface	hanja	gloss	level	created	source
11133	경마 팬		racing man		2006-01-16T09:52:46Z	engdic-144119@ezcorean:144119
11134	경마개최		race		2006-01-16T09:52:46Z	engdic-143978@ezcorean:143978
11135	경마개최와 관련해서 열리는 무도회		race-ball		2006-01-16T09:52:46Z	engdic-144031@ezcorean:144031
11136	경마광		horseplayer		2006-01-16T09:52:46Z	engdic-87915@ezcorean:87915
11137	경마대회		race, race meeting		2008-11-10T18:59:18Z	joe-143977@ezcorean:143977
11138	경마를 좋아하는 사람		racing man		2006-01-16T09:52:46Z	engdic-144118@ezcorean:144118
11139	경마를 하다		race		2006-01-16T09:52:46Z	engdic-143994@ezcorean:143994
11140	경마에 건 돈을 승자에게 치르지 않고 달아나다		welsh		2006-01-16T09:52:46Z	engdic-201552@ezcorean:201552
11141	경마에 미쳐서		horsily		2006-01-16T09:52:46Z	engdic-87965@ezcorean:87965
11142	경마에 미치다		race		2006-01-16T09:52:46Z	engdic-143995@ezcorean:143995
11143	경마에 출전시키다		ran		2006-01-16T09:52:46Z	engdic-145349@ezcorean:145349
11144	경마용의		running		2006-01-16T09:52:46Z	engdic-160373@ezcorean:160373
11145	경마의		racing		2006-01-16T09:52:46Z	engdic-144108@ezcorean:144108
11146	경마의 기수		jockey		2006-01-16T09:52:46Z	engdic-100801@ezcorean:100801
11147	경마장	競馬場	racetrack (for horses), raceway (for horses)		2009-01-01T20:23:14Z	joe-144072@ezcorean:144072
11148	경마장 관람석		race stand		2006-01-16T09:52:46Z	engdic-144069@ezcorean:144069
11149	경마장 밖의		offtrack		2006-01-16T09:52:46Z	engdic-124673@ezcorean:124673
11150	경마장에 딸린 울친 땅		paddock		2006-01-16T09:52:46Z	engdic-128114@ezcorean:128114
11151	경마장의 경기로를 헤매는 개		Derby dog		2006-01-16T09:52:46Z	engdic-49492@ezcorean:49492
11152	경마정보		dope		2006-01-16T09:52:46Z	engdic-53928@ezcorean:53928
11153	경마지로	犬馬之勞	one's humble service to the king		2009-09-27T20:35:25Z	gsso2-233030@ezcorean:233030
11154	경마팬		racegoer		2006-01-16T09:52:46Z	engdic-144041@ezcorean:144041
11155	경마팬		racetrack		2006-01-16T09:52:46Z	engdic-144076@ezcorean:144076
11156	경막제		hardener		2006-01-16T09:52:46Z	engdic-83194@ezcorean:83194
11157	경막하의		subdural		2006-01-16T09:52:46Z	engdic-178787@ezcorean:178787
11158	경망	敬望	imprudence		2009-01-01T20:23:14Z	engdic-92291@ezcorean:92291
11159	경망스러운		imprudent		2006-01-16T09:52:46Z	engdic-92297@ezcorean:92297
11160	경매	競賣	public sale		2009-02-28T07:46:13Z	joe-141768@ezcorean:141768
11161	경매인		auctioneer		2006-01-16T09:52:46Z	engdic-8934@ezcorean:8934
11162	경매장	競賣場	salesroom		2009-01-01T20:23:14Z	engdic-161296@ezcorean:161296
11163	경매제	競賣制			2009-01-01T20:23:14Z	mr.hanja-212177@ezcorean:212177
11164	경매하다	競賣하다	auction		2009-01-02T21:33:11Z	engdic-8932@ezcorean:8932
11165	경멸	輕蔑	contempt, disdain, indignity, scorn		2009-01-01T20:23:14Z	joe-37514@ezcorean:37514
11166	경멸어		a pejorative word		2006-01-16T09:52:46Z	engdic-131175@ezcorean:131175
11167	경멸적	輕蔑的	contemptious		2009-03-21T02:38:55Z	mr.hanja-212178@ezcorean:212178
11168	경멸하다	輕蔑하다	despise, disdain, poohpooh, scorn		2009-01-02T21:33:11Z	joe-49812@ezcorean:49812
11169	경모		adoration, respect, worship		2009-03-01T02:57:01Z	joe-1910@ezcorean:1910
11170	경목질과		xylocarp		2006-01-16T09:52:46Z	engdic-204185@ezcorean:204185
11171	경목질과를 맺는		xylocarpous		2006-01-16T09:52:46Z	engdic-204186@ezcorean:204186
11172	경묘하다	輕妙하다	facile,  witty		2009-03-18T03:06:30Z	joe-63847@ezcorean:63847
11173	경무과장	警務課長			2009-01-01T20:23:14Z	mr.hanja-212179@ezcorean:212179
11174	경무관		chief superintendent		2006-01-16T09:52:46Z	engdic-26566@ezcorean:26566
11175	경무의		concurrent		2006-01-16T09:52:46Z	engdic-35546@ezcorean:35546
11176	경문가		motet		2006-01-16T09:52:46Z	engdic-117262@ezcorean:117262
11177	경문학		light literature		2006-01-16T09:52:46Z	engdic-106116@ezcorean:106116
11178	경물	敬物			2009-01-01T20:23:14Z	mr.hanja-212180@ezcorean:212180
11179	경미	輕微			2009-01-01T20:23:14Z	mr.hanja-212181@ezcorean:212181
11180	경미한		imperceptible		2006-01-16T09:52:46Z	engdic-91546@ezcorean:91546
11181	경박	輕薄	featheriness, flippancy, frivolity		2009-01-01T20:23:14Z	joe-65449@ezcorean:65449
11182	경박단소	輕薄短少			2009-01-01T20:23:14Z	mr.hanja-212182@ezcorean:212182
11183	경박한		flippant, light, frivolous		2008-11-08T08:39:44Z	joe-68927@ezcorean:68927
11184	경배	敬拜			2009-01-01T20:23:14Z	mr.hanja-212183@ezcorean:212183
11185	경범자		misdemeanant		2006-01-16T09:52:46Z	engdic-115561@ezcorean:115561
11186	경범죄	輕犯罪	a misdemeanor		2009-03-25T00:39:41Z	joe-115565@ezcorean:115565
11187	경범죄자		a slight offender		2009-03-25T00:40:17Z	joe-231951@ezcorean:231951
11188	경변	硬變			2009-01-01T20:23:14Z	mr.hanja-212184@ezcorean:212184
11189	경보	競步	a foot race		2009-02-24T01:05:55Z	joe-231406@ezcorean:231406
11190	경보	警報	alarm, buzzer		2009-02-24T01:05:14Z	joe-3333@ezcorean:3333
11191	경보기	警報器	an alarm		2009-02-24T01:06:16Z	joe-3334@ezcorean:3334
11192	경보병		kerne		2006-01-16T09:52:46Z	engdic-102012@ezcorean:102012
11193	경보음	警報音			2009-01-01T20:23:14Z	mr.hanja-212185@ezcorean:212185
11194	경보장치	警報裝置			2009-01-01T20:23:14Z	mr.hanja-212186@ezcorean:212186
11195	경복궁	景福宮	a palace in 종로 in 서울	D	2009-01-01T20:23:14Z	joe-258904@ezcorean:209970
11196	경부		Seoul-Pusan		2010-09-26T16:46:59Z	naver-234706@ezcorean:234706
11197	경부		cervix		2006-01-16T09:52:46Z	engdic-24550@ezcorean:24550
11198	경부고속		the Seoul-busan freeway		2010-09-26T16:46:30Z	naver-234705@ezcorean:234705
11199	경부의		cervical		2006-01-16T09:52:46Z	engdic-24544@ezcorean:24544
11200	경북대학		A university in Daegu		2010-09-22T03:47:18Z	future-234583@ezcorean:234583
11201	경북도		a southern province of Korea		2009-12-03T01:22:51Z	zb-233553@ezcorean:233553
11202	경비	經費	Expenses or  outlay	C	2009-01-01T20:23:14Z	engdic-204968@ezcorean:62775
11203	경비	警備	guardship,  guarding something		2009-02-08T21:27:50Z	engdic-81055@ezcorean:81055
11204	경비 절감		retrench		2006-01-16T09:52:46Z	engdic-154468@ezcorean:154468
11205	경비단	警備團			2009-01-01T20:23:14Z	mr.hanja-212187@ezcorean:212187
11206	경비단장	警備團長			2009-01-01T20:23:14Z	mr.hanja-212188@ezcorean:212188
11207	경비대	警備隊	a security force		2009-03-02T22:40:42Z	mr.hanja-212189@ezcorean:212189
11208	경비대대		the security squadron		2009-04-25T19:37:56Z	ad-232210@ezcorean:232210
11209	경비망	警備網			2009-01-01T20:23:14Z	mr.hanja-212190@ezcorean:212190
11210	경비병	警備兵			2009-01-01T20:23:14Z	mr.hanja-212191@ezcorean:212191
11211	경비부 사령관		port admiral		2006-01-16T09:52:46Z	engdic-136131@ezcorean:136131
11212	경비실	警備室			2009-01-01T20:23:14Z	mr.hanja-212192@ezcorean:212192
11213	경비원	警備員	chucker-out		2009-01-01T20:23:14Z	engdic-27794@ezcorean:27794
11214	경비원	警備員	house detective		2009-01-01T20:23:14Z	engdic-88288@ezcorean:88288
11215	경비행기	輕飛行機	lightplane		2009-01-01T20:23:14Z	engdic-106149@ezcorean:106149
11216	경비행기	輕飛行機	puddle jumper		2009-01-01T20:23:14Z	engdic-141857@ezcorean:141857
11217	경사	傾斜,慶事,經絲,警査	bias, declination, grade, inclination, obliquity, tilt		2009-01-01T20:23:14Z	joe-13522@ezcorean:13522
11218	경사		really great news, really good and welcome news		2009-10-27T02:12:50Z	pap2-233348@ezcorean:233348
11219	경사 상환 방식 저당		graduated payment mortage		2006-01-16T09:52:46Z	engdic-78912@ezcorean:78912
11220	경사 암석퇴		talus		2006-01-16T09:52:46Z	engdic-182587@ezcorean:182587
11221	경사 지대		versant		2006-01-16T09:52:46Z	engdic-197425@ezcorean:197425
11222	경사가 느린		lowpitched		2006-01-16T09:52:46Z	engdic-108417@ezcorean:108417
11223	경사계		clinometer, inclinometer		2008-12-29T02:05:45Z	mrfinance-30315@ezcorean:30315
11224	경사계로 잰		clinometric, -rical		2006-01-16T09:52:46Z	engdic-30317@ezcorean:30317
11225	경사계의		clinometric, -rical		2006-01-16T09:52:46Z	engdic-30316@ezcorean:30316
11226	경사기		decanter		2006-01-16T09:52:46Z	engdic-47544@ezcorean:47544
11227	경사도		slope		2006-01-16T09:52:46Z	engdic-170278@ezcorean:170278
11228	경사로		ramp, runway		2008-12-29T02:05:56Z	mrfinance-145209@ezcorean:145209
11229	경사롭다		happy, auspicious		2009-07-12T04:19:02Z	joe-232564@ezcorean:232564
11230	경사를 완만하게 하다		grade		2006-01-16T09:52:46Z	engdic-78864@ezcorean:78864
11231	경사면		slope, talus		2008-08-08T17:08:08Z	joe-170277@ezcorean:170277
11232	경사면을 치부는 바람		upwind		2006-01-16T09:52:46Z	engdic-195737@ezcorean:195737
11233	경사암		graywacke		2006-01-16T09:52:46Z	engdic-79697@ezcorean:79697
11234	경사져서		aslope		2006-01-16T09:52:46Z	engdic-7898@ezcorean:7898
11235	경사지게하다		incline		2006-01-16T09:52:46Z	engdic-92947@ezcorean:92947
11236	경사지다		sloping, slanting (land)		2009-03-06T12:58:54Z	zb-170280@ezcorean:170280
11237	경사진		cant, sloping		2008-12-29T02:06:03Z	mrfinance-21140@ezcorean:21140
11238	경사진 곳		gradient		2006-01-16T09:52:46Z	engdic-78885@ezcorean:78885
11239	경사진 둑		glacis		2006-01-16T09:52:46Z	engdic-77111@ezcorean:77111
11240	경사진 목초지		downland		2006-01-16T09:52:46Z	engdic-54438@ezcorean:54438
11241	경사진 외벽		counterscarp		2006-01-16T09:52:46Z	engdic-40798@ezcorean:40798
11242	경사진-사각을 만들다		bevel		2006-01-16T09:52:46Z	engdic-13456@ezcorean:13456
11243	경사진각도를 이루는		inclined		2006-01-16T09:52:46Z	engdic-92969@ezcorean:92969
11244	경상	輕傷	flesh wound		2009-01-25T09:28:26Z	engdic-68688@ezcorean:68688
11245	경상	經常	the currently, ordinarily working thing		2009-01-25T09:28:26Z	joe-210665@ezcorean:210665
11246	경상		mirror image		2009-01-25T09:28:26Z	engdic-115410@ezcorean:115410
11247	경상계정	經常計定	おrぢなry account		2006-01-16T09:52:46Z	engdic-45264@ezcorean:45264
11249	경상계	慶尙系			2009-01-01T20:23:14Z	mr.hanja-212193@ezcorean:212193
11250	경상도	慶尙道	Kyung-San-Do province (ulsan or kyungju)	B	2009-01-01T20:23:14Z	joe-219832@ezcorean:210397
11251	경상부		stalk		2006-01-16T09:52:46Z	engdic-175524@ezcorean:175524
11252	경상비	經常費	current expenses, overhead		2009-01-01T20:23:14Z	joe-45273@ezcorean:45273
11253	경상수지	經常收支	the current account		2009-01-25T09:29:58Z	exchange-211252@ezcorean:211252
11254	경상자	輕傷者			2009-01-01T20:23:14Z	mr.hanja-212194@ezcorean:212194
11255	경상차	硬床車			2009-01-01T20:23:14Z	mr.hanja-212195@ezcorean:212195
11256	경상체		enantiomorph		2006-01-16T09:52:46Z	engdic-59034@ezcorean:59034
11257	경색	梗塞	infarct, infarction		2009-01-26T08:59:53Z	exchange-94763@ezcorean:94763
11258	경색	梗塞	to block or stop		2009-01-26T09:00:23Z	exchange-211263@ezcorean:211263
11259	경색형성		infarction		2006-01-16T09:52:46Z	engdic-94765@ezcorean:94765
11260	경석		pumice		2006-01-16T09:52:46Z	engdic-142188@ezcorean:142188
11261	경선	競選	careen		2009-01-01T20:23:14Z	engdic-21965@ezcorean:21965
11262	경선론자	競選論者			2009-01-01T20:23:14Z	mr.hanja-212196@ezcorean:212196
11263	경선수리		careen		2006-01-16T09:52:46Z	engdic-21966@ezcorean:21966
11264	경선의		longitudinal		2006-01-16T09:52:46Z	engdic-107733@ezcorean:107733
11265	경선자	競選者			2009-01-01T20:23:14Z	mr.hanja-212197@ezcorean:212197
11266	경성 세제		hard detergent		2006-01-16T09:52:46Z	engdic-83166@ezcorean:83166
11267	경성암		scirrhus		2006-01-16T09:52:46Z	engdic-163053@ezcorean:163053
11268	경성암의		scirrhous		2006-01-16T09:52:46Z	engdic-163051@ezcorean:163051
11269	경성의		sclerotic		2006-01-16T09:52:46Z	engdic-163087@ezcorean:163087
11270	경세제민	經世濟民	세상을 다스리고 백성을 구제함.		2009-01-01T20:23:14Z	mr.hanja-600859@ezcorean:212198
11271	경세치용	經世致用			2009-01-01T20:23:14Z	mr.hanja-212199@ezcorean:212199
11272	경솔	輕率	carelessness, errancy, inconsideration, precipitancy		2009-01-01T20:23:14Z	joe-22024@ezcorean:22024
11273	경솔하게	輕率하게	carelessly, hastily		2009-01-28T20:26:04Z	joe-22020@ezcorean:22020
11274	경솔하다	輕率하다	not carefully, care free		2009-01-02T21:33:11Z	joe-207121@ezcorean:207121
11275	경솔한		brash, careless, harebrained, heedless, imprudent, incautious, indiscreet, rash		2008-08-08T17:08:08Z	joe-17202@ezcorean:17202
11276	경솔히	輕率히	lightly		2009-01-03T21:33:11Z	engdic-106127@ezcorean:106127
11277	경수	輕水	hard water		2009-01-01T20:23:14Z	engdic-83383@ezcorean:83383
11278	경수로	輕水爐			2009-01-01T20:23:14Z	mr.hanja-212200@ezcorean:212200
11279	경수로형	輕水爐型			2009-01-01T20:23:14Z	mr.hanja-212201@ezcorean:212201
11280	경술국치	庚戌國恥			2009-01-01T20:23:14Z	mr.hanja-212202@ezcorean:212202
11281	경승	景勝			2009-01-01T20:23:14Z	mr.hanja-212203@ezcorean:212203
11282	경승지지	景勝之地			2009-01-01T20:23:14Z	mr.hanja-212204@ezcorean:212204
11283	경시	輕視	depreciation, think little of sth, disregard		2009-11-09T05:56:41Z	joe-49395@ezcorean:49395
11284	경시	競試			2009-11-09T05:56:49Z	ggs-233421@ezcorean:233421
11285	경시장		commander		2006-01-16T09:52:46Z	engdic-33527@ezcorean:33527
11286	경시총감		polic commissioner		2006-01-16T09:52:46Z	engdic-135371@ezcorean:135371
11287	경시하는		depreciatory		2006-01-16T09:52:46Z	engdic-49399@ezcorean:49399
11288	경시하다	輕視하다	depreciate, disesteem, downrate, neglect		2009-11-09T05:57:05Z	joe-49389@ezcorean:49389
11289	경시하여		depreciatingly		2006-01-16T09:52:46Z	engdic-49392@ezcorean:49392
11290	경식당		refreshment room		2006-01-16T09:52:46Z	engdic-149563@ezcorean:149563
11291	경식당		teashop		2006-01-16T09:52:46Z	engdic-183320@ezcorean:183320
11292	경식야구		hardball		2006-01-16T09:52:46Z	engdic-83114@ezcorean:83114
11293	경식의		rigid		2006-01-16T09:52:46Z	engdic-156384@ezcorean:156384
11294	경신	更新	renewal, change to sth new		2009-03-07T05:39:43Z	engdic-42632@ezcorean:42632
11295	경신	敬神	, godliness, worship of a god, respect of a god		2009-03-07T05:40:09Z	joe-70352@ezcorean:70352
11296	경악	驚愕	astonishment		2009-01-01T20:23:14Z	engdic-8328@ezcorean:8328
11297	경악	驚愕	dismay		2009-01-01T20:23:14Z	engdic-52251@ezcorean:52251
11298	경악스럽다	驚愕스럽다	surprising		2010-09-24T08:27:23Z	future-234644@ezcorean:234644
11299	경애	敬愛			2009-01-01T20:23:14Z	mr.hanja-212205@ezcorean:212205
11300	경야		deathwatch		2006-01-16T09:52:46Z	engdic-47412@ezcorean:47412
11301	경야		wake		2006-01-16T09:52:46Z	engdic-199592@ezcorean:199592
11302	경양식	輕洋食			2009-01-01T20:23:14Z	mr.hanja-212206@ezcorean:212206
11303	경양식점		noshery		2006-01-16T09:52:46Z	engdic-122663@ezcorean:122663
11304	경어	敬語	honorific		2009-01-01T20:23:14Z	engdic-87456@ezcorean:87456
11305	경어법	敬語法			2009-01-01T20:23:14Z	mr.hanja-212207@ezcorean:212207
11306	경에		about		2006-01-16T09:52:46Z	engdic-264@ezcorean:264
11307	경연	競演	contest		2009-01-01T20:23:14Z	engdic-37585@ezcorean:37585
11308	경연대회		a contest		2010-08-11T08:54:47Z	joe-234457@ezcorean:234457
11309	경연장	競演場			2009-01-01T20:23:14Z	mr.hanja-212208@ezcorean:212208
11310	경영	經營	Management or  administration	B	2009-01-01T20:23:14Z	engdic-201034@ezcorean:203638
11311	경영 과학		management science		2006-01-16T09:52:46Z	engdic-110413@ezcorean:110413
11312	경영 능률 전문화		efficiency engineer		2006-01-16T09:52:46Z	engdic-57387@ezcorean:57387
11313	경영 정보 시스템		management information system		2006-01-16T09:52:46Z	engdic-110409@ezcorean:110409
11314	경영공학		management engineering		2006-01-16T09:52:46Z	engdic-110408@ezcorean:110408
11315	경영권	經營權			2009-01-01T20:23:14Z	mr.hanja-212209@ezcorean:212209
11316	경영권 취득		takeover		2006-01-16T09:52:46Z	engdic-182389@ezcorean:182389
11317	경영난	經營難			2009-01-01T20:23:14Z	mr.hanja-212210@ezcorean:212210
11318	경영대	經營大			2009-01-01T20:23:14Z	mr.hanja-212211@ezcorean:212211
11319	경영론	經營論			2009-01-01T20:23:14Z	mr.hanja-212212@ezcorean:212212
11320	경영비		working expenses		2006-01-16T09:52:46Z	engdic-203644@ezcorean:203644
11321	경영을 잘 하는 사람		manager		2006-01-16T09:52:46Z	engdic-110426@ezcorean:110426
11322	경영인	經營人			2009-01-01T20:23:14Z	mr.hanja-212213@ezcorean:212213
11323	경영자	經營者	conductor, executive , manager		2009-01-01T20:23:14Z	joe-35766@ezcorean:35766
11324	경영자측		industry		2006-01-16T09:52:46Z	engdic-94404@ezcorean:94404
11325	경영자측		management		2006-01-16T09:52:46Z	engdic-110405@ezcorean:110405
11326	경영주	經營主			2009-01-01T20:23:14Z	mr.hanja-212214@ezcorean:212214
11327	경영진	經營陣	the array/line of managers running a company		2009-01-01T20:23:14Z	mr.hanja-212215@ezcorean:212215
11328	경영체	經營體			2009-01-01T20:23:14Z	mr.hanja-212216@ezcorean:212216
11329	경영하다	經營하다	To manage or  adminster	C	2009-01-02T21:33:11Z	engdic-206746@ezcorean:110390
11330	경영학	經營學			2009-01-01T20:23:14Z	mr.hanja-212217@ezcorean:212217
11331	경영학과	經營學科			2009-01-01T20:23:14Z	mr.hanja-212218@ezcorean:212218
11332	경옥		jadeite		2006-01-16T09:52:46Z	engdic-100123@ezcorean:100123
11333	경외	敬畏	fear		2009-01-01T20:23:14Z	engdic-65369@ezcorean:65369
11334	경외 성서의 처음 두 권 중 어느 하나		Esdras		2006-01-16T09:52:46Z	engdic-60928@ezcorean:60928
11335	경외감	敬畏感			2009-01-01T20:23:14Z	mr.hanja-212219@ezcorean:212219
11336	경외심을 나타낸		awed		2006-01-16T09:52:46Z	engdic-9683@ezcorean:9683
11337	경외전		Apocrypha		2006-01-16T09:52:46Z	engdic-6265@ezcorean:6265
11338	경외전의		apocryphal		2006-01-16T09:52:46Z	engdic-6268@ezcorean:6268
11339	경외하다	敬畏하다	fear		2009-01-02T21:33:11Z	engdic-65372@ezcorean:65372
11340	경외하다	敬畏하다	revere		2009-01-02T21:33:11Z	engdic-154919@ezcorean:154919
11341	경용	經用			2009-01-01T20:23:14Z	mr.hanja-212220@ezcorean:212220
11342	경우	境遇	A case or  an instance	B	2009-01-01T20:23:14Z	engdic-200065@ezcorean:22645
11343	경우의뢰		instance		2006-01-16T09:52:46Z	engdic-96559@ezcorean:96559
11344	경운기		cultivator		2010-07-23T14:34:32Z	feel-44772@ezcorean:44772
11345	경원	敬遠	keep a distance with those you pretend to respect ; pay sb lip service. lip service. lip service		2009-01-01T20:23:14Z	mr.hanja-600120@ezcorean:212221
11346	경위	經緯	progress/steps; the warp and weft of a fabric		2009-03-22T10:40:51Z	engdic-96474@ezcorean:96474
11347	경위	警衛	an inspector (a rank in the police force)		2009-03-22T10:42:12Z	zb-231909@ezcorean:231909
11348	경위	警衛	a warning, an alarm		2009-03-22T10:40:03Z	zb-231908@ezcorean:231908
11349	경위	京位	prehistory		2009-03-22T10:40:51Z	engdic-137711@ezcorean:137711
11350	경위	涇渭	right and wrong, who is right and who is wrong		2009-10-25T18:37:31Z	zb-233308@ezcorean:233308
11351	경위서	經緯書			2009-01-01T20:23:14Z	mr.hanja-212222@ezcorean:212222
11352	경위선망		graticule		2006-01-16T09:52:46Z	engdic-79489@ezcorean:79489
11353	경유	經由	gas oil, train oil		2009-09-28T16:13:18Z	joe-75233@ezcorean:75233
11354	경유	輕油	via, travelling through		2009-09-28T16:13:24Z	engdic-197687@ezcorean:197687
11355	경유지	經由地			2009-01-01T20:23:14Z	mr.hanja-212223@ezcorean:212223
11356	경음		fortis		2006-01-16T09:52:46Z	engdic-71439@ezcorean:71439
11357	경음악	輕音樂	light music		2009-01-01T20:23:14Z	engdic-106142@ezcorean:106142
11358	경음의		fortis		2006-01-16T09:52:46Z	engdic-71440@ezcorean:71440
11359	경의	敬意	deference to and respect of, honor, reverence		2009-01-01T20:23:14Z	joe-48217@ezcorean:48217
11360	경의 그리스 여류 시인		Sappho		2006-01-16T09:52:46Z	engdic-161921@ezcorean:161921
11361	경의를 갖고		reverently		2006-01-16T09:52:46Z	engdic-154945@ezcorean:154945
11362	경의를 표하는		regardful		2006-01-16T09:52:46Z	engdic-149759@ezcorean:149759
11363	경의를 표하는		respectful		2006-01-16T09:52:46Z	engdic-153629@ezcorean:153629
11364	경의를 표하다		compliment		2006-01-16T09:52:46Z	engdic-34709@ezcorean:34709
11365	경의를 표하다		regard		2006-01-16T09:52:46Z	engdic-149729@ezcorean:149729
11366	경의비마	輕衣肥馬			2009-01-01T20:23:14Z	mr.hanja-212224@ezcorean:212224
11367	경의의 표시		compliment		2006-01-16T09:52:46Z	engdic-34705@ezcorean:34705
11368	경의하다	敬意하다	regard, esteem		2009-01-02T21:33:11Z	engdic-149730@ezcorean:149730
11369	경이	驚異	a marvel, a phenomenon, sth wonderful		2009-03-08T20:37:45Z	joe-111491@ezcorean:111491
11370	경이감	驚異感			2009-01-01T20:23:14Z	mr.hanja-212225@ezcorean:212225
11371	경이원지	敬而遠之	(~경원) a respectable distance		2009-01-01T20:23:14Z	mr.hanja-600807@ezcorean:212226
11372	경이의해		annus mirabilis		2006-01-16T09:52:46Z	engdic-5409@ezcorean:5409
11373	경이적	驚異的	marvelous, stupendous		2010-07-05T16:53:56Z	mr.hanja-212227@ezcorean:212227
11374	경인		Seoul-Incheon		2010-09-26T16:43:19Z	future-234703@ezcorean:234703
11375	경인대		panwax		2006-01-16T09:52:46Z	engdic-128867@ezcorean:128867
11376	경입자		lepton		2006-01-16T09:52:46Z	engdic-105423@ezcorean:105423
11377	경자유전	耕者有田			2009-01-01T20:23:14Z	mr.hanja-212228@ezcorean:212228
11378	경작	耕作	cultivation, tillage		2009-03-05T08:20:08Z	joe-44755@ezcorean:44755
11379	경작권	耕作權			2009-01-01T20:23:14Z	mr.hanja-212229@ezcorean:212229
11380	경작상		culturally		2006-01-16T09:52:46Z	engdic-44792@ezcorean:44792
11381	경작자	耕作者	cultivator		2009-01-01T20:23:14Z	engdic-44766@ezcorean:44766
11382	경작지	耕作地	plowland		2009-03-07T03:32:36Z	engdic-134888@ezcorean:134888
11383	경작하다	耕作하다	culture		2009-03-05T08:20:26Z	joe-44812@ezcorean:44812
11384	경장	警長			2009-01-01T20:23:14Z	mr.hanja-212230@ezcorean:212230
11385	경장마차		roadster		2006-01-16T09:52:46Z	engdic-157261@ezcorean:157261
11386	경장비의		lightarmed		2006-01-16T09:52:46Z	engdic-106068@ezcorean:106068
11387	경재의		competitive		2006-01-16T09:52:46Z	engdic-34525@ezcorean:34525
11388	경쟁	競爭	Competition or  rivalry	C	2009-01-01T20:23:14Z	engdic-200762@ezcorean:37583
11389	경쟁 상대		corrival		2006-01-16T09:52:46Z	engdic-39853@ezcorean:39853
11390	경쟁 설계		competition design		2006-01-16T09:52:46Z	engdic-34523@ezcorean:34523
11391	경쟁국	競爭國			2009-01-01T20:23:14Z	mr.hanja-212231@ezcorean:212231
11392	경쟁기	競爭期			2009-01-01T20:23:14Z	mr.hanja-212232@ezcorean:212232
11393	경쟁력	競爭力	Competitiveness	C	2009-01-01T20:23:14Z	joe-202264@ezcorean:209889
11394	경쟁률	競爭率			2009-01-01T20:23:14Z	mr.hanja-212233@ezcorean:212233
11395	경쟁마의 번호가 게시되기 전에 내기를 하는		antepost		2006-01-16T09:52:46Z	engdic-5596@ezcorean:5596
11396	경쟁사	競爭社			2009-01-01T20:23:14Z	mr.hanja-212234@ezcorean:212234
11397	경쟁사회		rat race		2006-01-16T09:52:46Z	engdic-146098@ezcorean:146098
11398	경쟁상대		the competition, competitor, concurrent, contestant		2009-02-23T10:57:10Z	joe-34522@ezcorean:34522
11399	경쟁선거		contested election		2006-01-16T09:52:46Z	engdic-37612@ezcorean:37612
11400	경쟁시험		competition		2006-01-16T09:52:46Z	engdic-34520@ezcorean:34520
11401	경쟁심	競爭心			2009-01-01T20:23:14Z	mr.hanja-212235@ezcorean:212235
11402	경쟁의		contested		2006-01-16T09:52:46Z	engdic-37610@ezcorean:37610
11403	경쟁의		emulative		2006-01-16T09:52:46Z	engdic-58982@ezcorean:58982
11404	경쟁의식	競爭意識			2009-01-01T20:23:14Z	mr.hanja-212236@ezcorean:212236
11405	경쟁자	競爭者	competitor, contestant, rival		2009-01-01T20:23:14Z	joe-34529@ezcorean:34529
11406	경쟁자가 없는		uncontested		2006-01-16T09:52:46Z	engdic-192424@ezcorean:192424
11407	경쟁자가없는		unrivaled		2006-01-16T09:52:46Z	engdic-194614@ezcorean:194614
11408	경쟁적	競爭的			2009-01-01T20:23:14Z	mr.hanja-212237@ezcorean:212237
11409	경쟁적 공존		competitive coexistence		2006-01-16T09:52:46Z	engdic-34528@ezcorean:34528
11410	경쟁적인		competitive		2006-01-16T09:52:46Z	engdic-34526@ezcorean:34526
11411	경쟁하다	競爭하다	compete, contest, rival, vie		2009-02-22T18:16:07Z	joe-34494@ezcorean:34494
11412	경적	警笛	a beeping alarm, siren, whistle		2009-03-01T02:49:31Z	joe-12425@ezcorean:12425
11413	경전	經典	scripture, sutra		2009-03-09T03:06:53Z	joe-163585@ezcorean:163585
11414	경전연구		canonics		2006-01-16T09:52:46Z	engdic-21097@ezcorean:21097
11415	경전철	輕電鐵			2009-01-01T20:23:14Z	mr.hanja-212238@ezcorean:212238
11416	경전투	輕戰鬪			2009-01-01T20:23:14Z	mr.hanja-212239@ezcorean:212239
11417	경전하사	鯨戰蝦死			2009-01-01T20:23:14Z	mr.hanja-212240@ezcorean:212240
11418	경정	更正			2009-01-01T20:23:14Z	mr.hanja-212241@ezcorean:212241
11419	경정맥을 끊어 죽이다		jugulate		2006-01-16T09:52:46Z	engdic-101294@ezcorean:101294
11420	경정맥의		jugular		2006-01-16T09:52:46Z	engdic-101293@ezcorean:101293
11421	경제	經濟	Economy	B	2009-01-01T20:23:14Z	engdic-200200@ezcorean:57020
11422	경제 개발 위원회		CED		2006-01-16T09:52:46Z	engdic-23892@ezcorean:23892
11423	경제 개발 위원회의 하나		Little Neddy		2006-01-16T09:52:46Z	engdic-106916@ezcorean:106916
11424	경제 개발구		economic development zone		2006-01-16T09:52:46Z	engdic-56997@ezcorean:56997
11425	경제 경찰		economic police		2006-01-16T09:52:46Z	engdic-57003@ezcorean:57003
